Sun Jul 26 11:02:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off |   00000000:17:00.0 Off |                    0 |
| N/A   26C    P0             38W /  250W |     423MiB /  40960MiB |      2%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10214      C   python                                  414MiB |
+-----------------------------------------------------------------------------------------+
CUDA available: True
Device count: 1
Device 0: NVIDIA A100-PCIE-40GB
Device Name: cuda
Loaded dataset: tokens (599, 36) | targets (599, 36, 3)
Loaded dataset: tokens (1399, 36) | targets (1399, 36, 3)
Epoch 6500 | Train Loss: 0.3953 | Test Loss: 0.4821 | Train Acc: 0.5940 | Test Acc: 0.4993 | Train Bit Acc: 0.7633 | Test Bit Acc: 0.6874
Epoch 6600 | Train Loss: 0.3955 | Test Loss: 0.4807 | Train Acc: 0.5771 | Test Acc: 0.4877 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6887
Epoch 6700 | Train Loss: 0.3953 | Test Loss: 0.4826 | Train Acc: 0.6113 | Test Acc: 0.5073 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 6800 | Train Loss: 0.3953 | Test Loss: 0.4823 | Train Acc: 0.5966 | Test Acc: 0.4982 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6884
Epoch 6900 | Train Loss: 0.3956 | Test Loss: 0.4846 | Train Acc: 0.5714 | Test Acc: 0.4924 | Train Bit Acc: 0.7630 | Test Bit Acc: 0.6874
Epoch 7000 | Train Loss: 0.3952 | Test Loss: 0.4827 | Train Acc: 0.6073 | Test Acc: 0.5078 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 7100 | Train Loss: 0.3952 | Test Loss: 0.4836 | Train Acc: 0.5976 | Test Acc: 0.4965 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6874
Epoch 7200 | Train Loss: 0.3954 | Test Loss: 0.4834 | Train Acc: 0.5833 | Test Acc: 0.4920 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6884
Epoch 7300 | Train Loss: 0.3952 | Test Loss: 0.4842 | Train Acc: 0.6053 | Test Acc: 0.4989 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6874
Epoch 7400 | Train Loss: 0.3953 | Test Loss: 0.4844 | Train Acc: 0.5924 | Test Acc: 0.5130 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6883
Epoch 7500 | Train Loss: 0.3952 | Test Loss: 0.4848 | Train Acc: 0.6036 | Test Acc: 0.5029 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 7600 | Train Loss: 0.3952 | Test Loss: 0.4847 | Train Acc: 0.6073 | Test Acc: 0.4998 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6879
Epoch 7700 | Train Loss: 0.3951 | Test Loss: 0.4844 | Train Acc: 0.6101 | Test Acc: 0.5097 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 7800 | Train Loss: 0.3951 | Test Loss: 0.4847 | Train Acc: 0.6045 | Test Acc: 0.5042 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 7900 | Train Loss: 0.3951 | Test Loss: 0.4850 | Train Acc: 0.6123 | Test Acc: 0.5033 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 8000 | Train Loss: 0.3951 | Test Loss: 0.4858 | Train Acc: 0.6091 | Test Acc: 0.5012 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 8100 | Train Loss: 0.3951 | Test Loss: 0.4860 | Train Acc: 0.6011 | Test Acc: 0.5063 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 8200 | Train Loss: 0.3951 | Test Loss: 0.4857 | Train Acc: 0.6103 | Test Acc: 0.4992 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6882
Epoch 8300 | Train Loss: 0.3951 | Test Loss: 0.4866 | Train Acc: 0.6042 | Test Acc: 0.5024 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 8400 | Train Loss: 0.3951 | Test Loss: 0.4869 | Train Acc: 0.6080 | Test Acc: 0.5096 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6874
Epoch 8500 | Train Loss: 0.3951 | Test Loss: 0.4875 | Train Acc: 0.5982 | Test Acc: 0.5005 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6874
Epoch 8600 | Train Loss: 0.3951 | Test Loss: 0.4870 | Train Acc: 0.6007 | Test Acc: 0.5059 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
